Crop,N,"Dietary fiber, total (g/100g EPDM)",Iron (ppm EPDM),Zinc (ppm EPDM),Phytic acid (IP6) (mg/100g EPDM)
Sainfoin,15,48.96 ± 2.91 (45.79 - 54.34),64.14 ± 6.38 (56.25 - 74.24),61.63 ± 7.25 (54.78 - 79.05),1790.89 ± 319.87 (1423.45 - 2288.24)
Lupine,6,39.76 ± 3.6 (35.77 - 46.6),65.13 ± 18.57 (43.86 - 94.92),53.65 ± 16.21 (30.7 - 77.22),515.17 ± 127.76 (313 - 717)
Bambara Groundnut,1,31.8,30.03,21.35,275.6
Pigeon Pea,3,24.35 ± 0.75 (23.73 - 25.18),63.83 ± 9.95 (57.03 - 75.25),52.53 ± 17.1 (32.97 - 64.6),544.48 ± 16.97 (525.36 - 557.76)
Common Bean,10,23.67 ± 1.87 (20.5 - 26.21),80.37 ± 10.35 (65.63 - 99.23),33.44 ± 2.35 (29.84 - 36.29),856.62 ± 51.04 (772.2 - 937.2)
Broad Bean,2,22.05 ± 1.77 (20.81 - 23.3),49.8 ± 11.9 (41.39 - 58.22),33.34 ± 9.18 (26.85 - 39.83),465.22 ± 24.44 (447.94 - 482.5)
Mungo Bean,2,21.97 ± 0.55 (21.58 - 22.35),80.29 ± 1.77 (79.04 - 81.54),34.43 ± 1.08 (33.67 - 35.19),743.7 ± 0 (743.7 - 743.7)
Chickpea,6,21.12 ± 4.71 (14.26 - 28),74.03 ± 16.75 (48.96 - 94.71),34.91 ± 3.55 (28.77 - 38.91),605.56 ± 21.7 (590.15 - 645.86)
Lima Bean,1,21.04,71.51,30.49,657.36
Pea,10,19.74 ± 5.6 (11.44 - 28.74),52.06 ± 8.72 (38.83 - 66.82),34.75 ± 4.01 (27.78 - 40.77),501.42 ± 69.46 (427.68 - 582.12)
Hyacinth Bean,1,18.32,66.86,63.38,650
Mung Bean,3,17.07 ± 1.83 (15.27 - 18.92),46.24 ± 2.37 (44.59 - 48.96),22.41 ± 7.63 (17.98 - 31.22),334 ± 0 (334 - 334)
Cowpea,4,17.05 ± 6.91 (12.1 - 27.02),59.85 ± 5.47 (52.74 - 65.14),31.05 ± 7.83 (21.38 - 40.36),687.87 ± 0 (687.87 - 687.87)
Lentil,7,16.64 ± 2.38 (11.7 - 18.8),84.43 ± 8.54 (72.06 - 97.3),41.02 ± 5.33 (33.07 - 49.58),388.14 ± 0.38 (388 - 389)
Moth Bean,2,16.46 ± 0 (16.46 - 16.46),79.52 ± 0.22 (79.37 - 79.68),43.78 ± 0.12 (43.7 - 43.87),445.24 ± 0 (445.24 - 445.24)
Rice Bean,2,16.07 ± 1.45 (15.04 - 17.1),67.65 ± 0.09 (67.59 - 67.72),31.99 ± 0.04 (31.96 - 32.02),280 ± 0 (280 - 280)
Adzuki Bean,1,14.67,51.56,56.39,NA
Soybean,1,10.17,173.17,53.94,NA
