Crop,N,"Protein, total (g/100g EPDM)","Fat, total (g/100g EPDM)",Ash (g/100g EPDM),"Carbohydrates, by difference (g/100g EPDM)"
Soybean,1,39.9,21.8,5.32,32.98
Sainfoin,15,38.78 ± 1.78 (34.95 - 40.97),6.96 ± 0.47 (6.25 - 7.76),3.81 ± 0.23 (3.44 - 4.19),50.45 ± 1.38 (48.75 - 53.21)
Lupine,6,37.57 ± 4.39 (33.02 - 45.36),7.09 ± 1.44 (5.55 - 9.73),3.97 ± 0.74 (2.63 - 4.84),51.37 ± 4.63 (44.26 - 56.83)
Lentil,7,27.91 ± 1.26 (26.88 - 30.3),1.34 ± 0.26 (1.02 - 1.65),2.77 ± 0.35 (2.32 - 3.28),67.97 ± 1.13 (65.5 - 68.76)
Broad Bean,2,27.81 ± 0.89 (27.18 - 28.44),1.94 ± 0.58 (1.53 - 2.35),3.41 ± 0.39 (3.13 - 3.69),66.84 ± 0.7 (66.34 - 67.34)
Moth Bean,2,26.42 ± 0.09 (26.35 - 26.48),2.24 ± 0.22 (2.08 - 2.39),4.27 ± 0.15 (4.16 - 4.37),67.08 ± 0.28 (66.88 - 67.27)
Mungo Bean,2,26.33 ± 0.15 (26.23 - 26.44),1.51 ± 0.03 (1.49 - 1.53),3.69 ± 0.03 (3.68 - 3.71),68.46 ± 0.21 (68.31 - 68.6)
Hyacinth Bean,1,26.32,1.71,3.6,68.37
Pea,10,24.7 ± 2.88 (20.38 - 28.39),2.07 ± 0.44 (1.4 - 2.56),2.75 ± 0.33 (2.01 - 3.17),70.49 ± 3.5 (66.39 - 75.57)
Cowpea,4,24.37 ± 1.65 (22.54 - 26.24),2.33 ± 0.34 (2.12 - 2.84),3.76 ± 0.14 (3.61 - 3.89),69.54 ± 1.66 (67.78 - 71.64)
Common Bean,10,24.3 ± 0.97 (22.44 - 25.58),1.85 ± 0.29 (1.46 - 2.35),4.35 ± 0.56 (3.59 - 5.56),69.5 ± 0.9 (68.18 - 70.7)
Mung Bean,3,24.29 ± 2.65 (22.37 - 27.31),1.72 ± 0.44 (1.45 - 2.23),3.57 ± 0.29 (3.38 - 3.9),70.41 ± 3.37 (66.56 - 72.8)
Pigeon Pea,3,24.21 ± 0.92 (23.22 - 25.03),2.1 ± 0.44 (1.68 - 2.56),4.17 ± 0.25 (3.89 - 4.38),69.52 ± 0.89 (68.7 - 70.46)
Lima Bean,1,23.04,1.7,4.63,70.63
Adzuki Bean,1,22.99,0.62,4.13,72.26
Chickpea,6,22.13 ± 1.61 (19.9 - 23.8),5.87 ± 0.47 (5.48 - 6.64),3.03 ± 0.14 (2.79 - 3.2),68.98 ± 1.91 (66.84 - 71.42)
Rice Bean,2,21.21 ± 0.05 (21.17 - 21.25),0.59 ± 0 (0.59 - 0.59),4.51 ± 0.03 (4.48 - 4.53),73.69 ± 0.08 (73.63 - 73.75)
Bambara Groundnut,1,20.27,7.08,3.76,68.88
